LocationID;Zone;Zone_Lat;Zone_Lon;borough_ID;Borough;borough_lat;borough_lon;borough_boundingbox
1;Newark Airport;40.735657;-74.172363;1.0;EWR;40.68906405;-74.17725485035348;['40.6701316', '40.7081477', '-74.1920592', '-74.1532317']
2;Jamaica Bay;40.617778;-73.8425;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
3;Allerton/Pelham Gardens;40.861;-73.845;3.0;Bronx;40.8466508;-73.8785937;['40.7853712', '40.9152598', '-73.9336575', '-73.7653293']
4;Alphabet City;40.724545;-73.97905;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
5;Arden Heights;40.54928582278321;-74.18588674583894;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
6;Arrochar/Fort Wadsworth;40.592664296;-74.06999972;5.0;Staten Island;40.5834557;-74.1496048;['40.4960342', '40.6488941', '-74.2556782', '-74.0492521']
7;Astoria;40.76850859335492;-73.91565374304234;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
8;Astoria Park;40.775679;-73.926058;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
9;Auburndale;40.761729549032616;-73.79176243728061;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
10;Baisley Park;40.6737751;-73.786025;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
11;Bath Beach;40.59951870282239;-73.99875221443519;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
12;Battery Park;40.703717;-74.016094;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
13;Battery Park City;40.71193198394565;-74.01686930508617;4.0;Manhattan;40.7896239;-73.9598939;['40.6839411', '40.8804489', '-74.0472219', '-73.9061585']
14;Bay Ridge;40.625801065010656;-74.03062069353813;6.0;Brooklyn;40.6501038;-73.9495823;['40.5700235', '40.7394026', '-74.0419691', '-73.8556336']
15;Bay Terrace/Fort Totten;40.7885468458;-73.7723135774;2.0;Queens;40.7498243;-73.7976337;['40.5419011', '40.8009249', '-73.9626879', '-73.7001809']
